
2025/03/15 (23:54:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/03/15 (23:54:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/15 (23:54:58) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/03/15 (23:55:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/15 (23:55:00) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/03/15 (23:55:00) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/03/15 (23:55:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/15 (23:55:00) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/03/15 (23:55:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/15 (23:55:02) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/03/15 (23:55:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/03/15 (23:55:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/15 (23:55:02) | WARNING: ROCm SMI: Failed to get GPU temperature

2025/03/19 (23:55:26) | ===> btop++ v.1.4.0
2025/03/19 (23:55:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/19 (23:55:26) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/19 (23:55:26) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/19 (23:55:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/19 (23:55:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/19 (23:55:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/19 (23:55:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/20 (01:46:24) | ===> btop++ v.1.4.0
2025/03/20 (01:46:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/20 (01:46:24) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/20 (01:46:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/20 (01:46:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/20 (01:46:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/20 (01:46:24) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/20 (01:46:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/20 (02:14:55) | ===> btop++ v.1.4.0
2025/03/20 (02:14:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/20 (02:14:55) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/20 (02:14:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/20 (02:14:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/20 (02:14:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/20 (02:14:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/20 (02:14:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/18 (18:44:06) | ===> btop++ v.1.4.0
2025/04/18 (18:44:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/18 (18:44:06) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/18 (18:44:06) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/04/18 (18:44:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/18 (18:44:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/18 (18:44:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/18 (18:44:06) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/20 (16:14:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/22 (20:52:53) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:12) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:12) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:14) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:14) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:14) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:14) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:14) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:16) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:16) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:16) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
